title,link,excerpt,published_at,funding_round,money_raised
Indian online lending platform Capital Float raises $45M Series C,https://techcrunch.com/2017/08/21/indian-online-lending-platform-capital-float-raises-45m-series-c/,"Capital Float, which claims to be the largest online lending platform in India, announced today that it has raised a $45 million Series C led by Ribbit Capital. Returning investors SAIF Partners, Sequ...",2017/08/21,Series C,$45 M
"Carwow, a UK startup that helps you buy a new car, raises $39M Series C",https://techcrunch.com/2017/07/30/carwow-series-c/,"Carwow, a platform that helps you buy a new car, has closed $39 million in Series C funding. The round was led by new investor Vitruvian Partners, with existing investors Accel Partners and Balderton ...",2017/07/30,Series C,$39 M
Stash raises $40 million Series C to make investing more approachable,https://techcrunch.com/2017/07/13/stash-raises-40-million-series-c-to-make-investing-more-approachable/,"Micro-investing app Stash has raised an additional $40 million in Series C funding, the company announced this morning, following rapid growth in terms of sign-ups from new users - 86 percent of whom ...",2017/07/13,Series C,$40 M
"Blowing up the re-location industry, Move Guides raises $48M Series C",https://techcrunch.com/2017/07/11/blowing-up-the-re-location-industry-move-guides-raises-48m-series-c/,"Whatever any country leader says about banning travel or shutting down the movement of people, the world is accelerating its globalisation and that means people move around. Duh. Talent is now global,...",2017/07/11,Series C,$48 M
Cohesity raises $90M+ Series C round for its hyperconverged data platform,https://techcrunch.com/2017/04/04/cohesity-raises-90m-series-c-round-for-its-hyperconverged-data-platform/,"Cohesity, a company that helps enterprises to store and manage all of the secondary data they create outside of their production apps, today announced that it has raised over $90 million in a Series C...",2017/04/04,Series C,$90 M
Digg raises Series C led by USA Today owner Gannett to boost its aggregation chops,https://techcrunch.com/2016/09/13/digg-raises-series-c-led-by-usa-today-owner-gannett-to-boost-its-aggregation-chops/,"As publishers of dead-tree newspapers continue to look for ways to pivot and profit from the massive consumer shift to digital platforms, one of the more storied of them is putting some money into an ...",2016/09/13,Series C,unknown
"After bump in the road, Movinga raises ?17M Series C",https://techcrunch.com/2016/12/08/on-the-movinga-again/,"Berlin's startup scene is probably the most gossipy in Europe. And over the last year, one startup, removals platform Movinga, has generated more gossip than most. The company reportedly burned throug...",2016/12/08,Series C,?17 M
Leanplum raises $29M Series C round for its mobile marketing platform,https://techcrunch.com/2016/10/19/leanplum-raises-29m-series-c-round-for-its-mobile-marketing-platform/,Leanplum started out as a mobile A/B testing platform but has since built on this foundation to become a fully-fledged mobile marketing platform. The company has now raised a $29 million Series C roun...,2016/10/19,Series C,$29 M
MemSQL raises $36M Series C round for its in-memory database platform,https://techcrunch.com/2016/04/21/memsql-raises-36m-series-c-round-for-its-in-memory-database-platform/,In-memory database platform MemSQL today announced that it has raised a $36 million Series C funding round. The round was led by new investors REV and Caffeinated Capital and existing investors Accel ...,2016/04/21,Series C,$36 M
"Forter raises $32M Series C, continues battle against online fraud",https://techcrunch.com/2016/04/21/forter-series-c/,"Fraud prevention company Forter today announced a $32 million Series C funding led by Scale Venture Partners, with follow-on funding from Sequoia and NEA. The company uses its Decision as a Service al...",2016/04/21,Series C,$32 M
